"MU","month","year","prcp","tmin","tmid","tmidC","tmax"
"EVER",1,2023,4.94951820373535,287.419982910156,293.403701782227,20.2537017822266,299.387420654297
"EVER",2,2023,32.1753578186035,289.430725097656,295.373168945312,22.2231689453125,301.315612792969
"EVER",3,2023,34.2087211608887,289.509368896484,296.001327514648,22.8513275146485,302.493286132812
"EVER",4,2023,167.229461669922,292.560668945312,298.1162109375,24.9662109375,303.671752929688
"EVER",5,2023,144.762191772461,293.085662841797,298.966674804688,25.8166748046875,304.847686767578
"EVER",6,2023,248.200454711914,296.506622314453,301.229797363281,28.0797973632813,305.952972412109
"EVER",7,2023,171.875411987305,298.327301025391,302.853500366211,29.703500366211,307.379699707031
"EVER",8,2023,212.211212158203,298.516845703125,302.879119873047,29.7291198730469,307.241394042969
"EVER",9,2023,221.355514526367,297.145080566406,301.676940917969,28.5269409179688,306.208801269531
"EVER",10,2023,60.9414482116699,294.726196289062,299.206512451172,26.0565124511719,303.686828613281
"EVER",11,2023,212.368148803711,292.327941894531,296.692962646484,23.5429626464844,301.057983398438
"EVER",12,2023,107.104034423828,289.482543945312,293.612884521484,20.4628845214844,297.743225097656
"EVER",1,2024,62.4159812927246,288.677581787109,293.208770751953,20.0587707519531,297.739959716797
"EVER",2,2024,98.5323028564453,286.189971923828,291.981140136719,18.8311401367188,297.772308349609
"EVER",3,2024,171.678070068359,291.627380371094,296.505340576172,23.3553405761719,301.38330078125
"EVER",4,2024,37.153450012207,290.950500488281,296.465316772461,23.315316772461,301.980133056641
"EVER",5,2024,45.2802047729492,295.340057373047,300.877700805664,27.7277008056641,306.415344238281
"EVER",6,2024,444.322296142578,297.337921142578,301.282516479492,28.1325164794922,305.227111816406
"EVER",7,2024,183.308502197266,298.601623535156,302.669555664062,29.5195556640625,306.737487792969
"EVER",8,2024,225.431396484375,298.417602539062,302.312683105469,29.1626831054688,306.207763671875
"EVER",9,2024,240.372817993164,298.265411376953,302.257720947266,29.1077209472656,306.250030517578
"EVER",10,2024,172.72785949707,295.733764648438,299.274551391602,26.1245513916016,302.815338134766
"EVER",11,2024,16.4470310211182,292.070739746094,296.671142578125,23.521142578125,301.271545410156
"EVER",12,2024,62.0027503967285,288.215026855469,293.441390991211,20.291390991211,298.667755126953
"EVER",1,2025,18.1533908843994,284.859405517578,291.213851928711,18.063851928711,297.568298339844
"EVER",2,2025,7.35857582092285,282.967254638672,290.618927001953,17.4689270019531,298.270599365234
"EVER",3,2025,41.7300338745117,287.309600830078,294.13037109375,20.98037109375,300.951141357422
"EVER",4,2025,15.1908559799194,290.408630371094,296.751159667969,23.6011596679688,303.093688964844
"EVER",5,2025,133.98698425293,294.097015380859,300.071563720703,26.9215637207031,306.046112060547
"EVER",6,2025,202.88883972168,296.029235839844,300.890960693359,27.7409606933594,305.752685546875
"EVER",7,2025,186.746658325195,297.2802734375,301.926025390625,28.776025390625,306.57177734375
"EVER",8,2025,249.042449951172,297.598052978516,302.397659301758,29.2476593017578,307.197265625
"EVER",9,2025,242.924606323242,297.273406982422,301.401153564453,28.2511535644531,305.528900146484
"EVER",10,2025,111.719612121582,295.418609619141,299.500564575195,26.3505645751953,303.58251953125
