"","spei","Pop","inv.cat","exposure","pred","DSR","DSR_SE","DSR_lower","DSR_upper","ns","ns_upper","ns_lower","NS_SE","Nnests"
"15","Wet","PP","No",1,0.0272931528364162,0.972706847163584,0.0068952365583355,0.959192183509246,0.986221510817921,0.200888203319163,0.447218034966141,0.0892332270942137,0.0569668246045661,NA
"16","Normal","SJM","No",1,0.0260569807844998,0.9739430192155,0.00191072695975135,0.970197994374388,0.977688044056613,0.216244887467999,0.270157886826555,0.172942449214812,0.0220930807414217,195
"17","Drought","SJM","No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Wet","SJM","No",1,0.0305619854887927,0.969438014511207,0.00553436894514675,0.95859065137872,0.980285377643695,0.165258059776939,0.315098564535567,0.0860448685836012,0.0404148934659888,29
"19","Normal","EAST","Yes",1,0.0179322568271926,0.982067743172807,0.00145785035521325,0.979210356476589,0.984925129869025,0.350109502148885,0.414368436748404,0.295670427036142,0.0277750383228281,560
"20","Drought","EAST","Yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Wet","EAST","Yes",1,0.0182257135437727,0.981774286456227,0.00405716652374689,0.973822240069683,0.989726332842771,0.344093044980695,0.549385597129387,0.214695007157248,0.0660194070527791,78
"22","Normal","EVER","Yes",1,0.0157535509898016,0.984246449010198,0.000752626749306899,0.982771300581557,0.98572159743884,0.398128880922255,0.434257958205713,0.364958092872375,0.0169238714540201,1232
"23","Drought","EVER","Yes",1,0.00945967275940085,0.990540327240599,0.00157159542284628,0.98746000021182,0.993620654269378,0.576216062789231,0.689914721382745,0.480985204017301,0.0485871728428215,252
"24","Wet","EVER","Yes",1,0.0110113636273823,0.988988636372618,0.00106781295661495,0.986895722977652,0.991081549767583,0.526132934128336,0.59476402776312,0.465300453589098,0.0310369798669581,362
"25","Normal","KRV","Yes",1,0.022443132472415,0.977556867527585,0.000614974156156621,0.976351518181518,0.978762216873652,0.26806357288942,0.287923667059706,0.249551360877548,0.00944500612850654,4292
"26","Drought","KRV","Yes",1,0.0151688242406753,0.984831175759325,0.00142130121481066,0.982045425378296,0.987616926140354,0.412082064104144,0.485438722772073,0.349648332765002,0.0318539445607865,547
"27","Wet","KRV","Yes",1,0.0281098041557311,0.971890195844269,0.00417830670913024,0.963700714694374,0.980079676994164,0.191336428965333,0.311286478243215,0.117124163359619,0.0378634008192416,129
"28","Normal","OKEE","Yes",1,0.0176004841087699,0.98239951589123,0.000769815421267463,0.980890677665546,0.983908354116914,0.35703608155635,0.390273971686208,0.32658422892091,0.0155366595078777,2305
"29","Drought","OKEE","Yes",1,0.024969079416057,0.975030920583943,0.00375814716985432,0.967664952131029,0.982396889036858,0.230710058710351,0.356980714062942,0.148610903255221,0.0418873242118007,116
"30","Wet","OKEE","Yes",1,0.0256074857132645,0.974392514286735,0.00168757060033793,0.971084875910073,0.977700152663398,0.22211017478118,0.270352016899449,0.182354731658126,0.0202833893484971,1022
"31","Normal","PP","Yes",1,0.0178693439075946,0.982130656092405,0.00127722657838345,0.979627291998774,0.984634020186037,0.351412739222275,0.407324514673598,0.303061522765297,0.024668987988254,838
"32","Drought","PP","Yes",1,0.025349039388715,0.974650960611285,0.00436214582307327,0.966101154798061,0.983200766424509,0.225553037244516,0.374324357946656,0.135304073360558,0.0460453897367134,NA
"33","Wet","PP","Yes",1,0.0181617806200485,0.981838219379952,0.00449561942330384,0.973026805310276,0.990649633449627,0.345395081139647,0.579915643761186,0.204756955477383,0.0717541457460529,5
"34","Normal","SJM","Yes",1,0.0173355005852526,0.982664499414747,0.00114621081004182,0.980417926227065,0.984911072602429,0.362664849878061,0.414025561860065,0.317579249325465,0.0230028574247934,740
"35","Drought","SJM","Yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Wet","SJM","Yes",1,0.0203484386192587,0.979651561380741,0.00365975308620368,0.972478445331782,0.9868246774297,0.3034972987651,0.46336163882097,0.198170533382114,0.0537381456035645,66
