"","Nest","Year","Pop","Fledglings","TSI","invaded"
"301",301,1998,"EVER",2,-1,0
"302",302,1998,"EVER",2,-1,0
"303",303,1998,"EVER",2,-1,0
"304",304,1998,"EVER",2,-1,0
"305",305,1998,"EVER",2,-1,0
"306",306,1998,"EVER",2,-1,0
"307",307,1998,"EVER",2,-1,0
"308",308,1998,"EVER",1,-1,0
"309",309,1998,"EVER",3,-1,0
"310",310,1998,"EVER",3,-1,0
"311",311,1998,"EVER",3,-1,0
"312",312,1998,"EVER",1,-1,0
"313",313,1998,"EVER",3,-1,0
"314",314,1998,"EVER",1,-1,0
"315",315,1998,"EVER",2,-1,0
"316",316,1998,"EVER",1,-1,0
"317",317,1998,"EVER",2,-1,0
"318",318,1998,"EVER",3,-1,0
"319",319,1998,"EVER",3,-1,0
"320",320,1998,"EVER",3,-1,0
"321",321,1998,"EVER",1,-1,0
"322",322,1998,"EVER",3,-1,0
"323",323,1998,"EVER",3,-1,0
"324",324,1998,"EVER",2,-1,0
"325",325,1998,"EVER",1,-1,0
"326",326,1998,"EVER",2,-1,0
"327",327,1998,"EVER",2,-1,0
"328",328,1998,"EVER",3,-1,0
"329",329,1998,"EVER",3,-1,0
"330",330,1998,"EVER",2,-1,0
"331",331,1998,"EVER",2,-1,0
"332",332,1998,"EVER",2,-1,0
"333",333,1998,"EVER",2,-1,0
"334",334,1998,"EVER",3,-1,0
"335",335,1998,"EVER",1,-1,0
"336",336,1998,"EVER",3,-1,0
"337",337,1998,"EVER",1,-1,0
"338",338,1998,"EVER",2,-1,0
"339",339,1998,"EVER",3,-1,0
"340",340,1998,"EVER",3,-1,0
"341",341,1998,"EVER",2,-1,0
"342",342,1998,"EVER",2,-1,0
"343",343,1998,"EVER",1,-1,0
"344",344,1998,"EVER",2,-1,0
"345",345,1998,"EVER",2,-1,0
"346",346,1998,"EVER",2,-1,0
"347",347,1998,"EVER",2,-1,0
"348",348,1998,"EVER",2,-1,0
"349",349,1998,"EVER",1,-1,0
"350",350,1998,"EVER",3,-1,0
"351",351,1998,"EVER",1,-1,0
"352",352,1998,"EVER",2,-1,0
"353",353,1998,"EVER",2,-1,0
"354",354,1998,"EVER",2,-1,0
"355",355,1998,"EVER",2,-1,0
"356",356,1998,"EVER",2,-1,0
"357",357,1998,"EVER",3,-1,0
"358",358,1998,"EVER",1,-1,0
"359",359,1998,"EVER",1,-1,0
"360",360,1998,"EVER",1,-1,0
"361",361,1998,"EVER",2,-1,0
"362",362,1998,"EVER",1,-1,0
"363",363,1998,"EVER",1,-1,0
"364",364,1998,"EVER",1,-1,0
"365",365,1998,"EVER",1,-1,0
"366",366,1998,"EVER",3,-1,0
"367",367,1998,"EVER",1,-1,0
"368",368,1998,"EVER",2,-1,0
"369",369,1998,"EVER",2,-1,0
"370",370,1998,"EVER",2,-1,0
"371",371,1998,"EVER",2,-1,0
"372",372,1998,"EVER",2,-1,0
